Family	Species	Complete_BUSCO	RNAseq_samples
Acanthaceae	Avicennia marina	94.9	67
Acanthaceae	Andrographis paniculata	96.3	40
Actinidia	Actinidia chinensis	93.6	327
Actinidiaceae	Actinidia eriantha	85.4	24
Amaranthaceae	Amaranthus hypochondriacus	80.8	28
Amborellaceae	Amborella trichopoda	90.5	87
Anacardiaceae	Mangifera indica	97.4	227
Anacardiaceae	Pistacia vera	95	50
Anacardiaceae	Toxicodendron radicans	75.6	5
Anthocerotaceae	Anthoceros angustus	77.2	2
Apiaceae	Daucus carota	95.1	304
Apiaceae	Panax notoginseng	85.4	270
Apiaceae	Oenanthe javanica	89.9	29
Apiaceae	Foeniculum vulgare	71.6	21
Apiaceae	Centella asiatica	95.9	19
Apiaceae	Apium graveolens	93.7	15
Apocynaceae	Catharanthus roseus	80.8	144
Apocynaceae	Calotropis procera	82.5	56
Apocynaceae	Rhazya stricta	95.3	48
Apocynaceae	Asclepias syriaca	76.9	4
Araceae	Spirodela polyrhiza	86	50
Araceae	Colocasia esculenta	74.1	23
Araceae	Wolffia australiana	77.8	16
Araceae	Spirodela intermedia	96.1	2
Arecaceae	Elaeis guineensis	87.9	425
Arecaceae	Phoenix dactylifera	92.1	147
Arecaceae	Cocos nucifera	90.1	89
Arecaceae	Calamus simplicifolius	83.3	24
Arecaceae	Elaeis oleifera	57.6	16
Asparagaceae	Asparagus officinalis	81.5	112
Asparagaceae	Asparagus setaceus	84.4	4
Asteraceae	Helianthus annuus	92.2	1167
Asteraceae	Lactuca sativa	70.3	688
Asteraceae	Mikania micrantha	89	155
Asteraceae	Carthamus tinctorius	68.3	148
Asteraceae	Stevia rebaudiana	80.7	100
Asteraceae	Artemisia annua	93	75
Asteraceae	Cynara cardunculus	95.3	54
Asteraceae	Chrysanthemum seticuspe	92	51
Asteraceae	Erigeron canadensis	95.2	39
Asteraceae	Lactuca saligna	88.9	3
Berberidaceae	Berberis thunbergii	90.3	24
Betulaceae	Betula pendula	95.3	110
Betulaceae	Corylus heterophylla	91	30
Betulaceae	Alnus glutinosa	79.4	6
Betulaceae	Carpinus fangiana	93.8	6
Bignoniaceae	Handroanthus impetiginosus	85.4	7
Boraginaceae	Echium plantagineum	95.6	20
Brassicaceae	Arabidopsis thaliana	98.8	49865
Brassicaceae	Brassica napus	97.4	5049
Brassicaceae	Brassica rapa	99	2979
Brassicaceae	Arabidopsis halleri	97.4	1431
Brassicaceae	Brassica oleracea	98.7	1273
Brassicaceae	Brassica juncea	98.7	680
Brassicaceae	Raphanus sativus	99.1	414
Brassicaceae	Aethionema arabicum	98.5	306
Brassicaceae	Arabidopsis arenosa	97.9	249
Brassicaceae	Arabidopsis lyrata	98.9	232
Brassicaceae	Camelina sativa	99.2	197
Brassicaceae	Capsella bursa-pastoris	95.6	158
Brassicaceae	Eutrema salsugineum	98.9	148
Brassicaceae	Capsella rubella	98.9	82
Brassicaceae	Arabis alpina	98.4	77
Brassicaceae	Brassica nigra	98.4	66
Brassicaceae	Noccaea caerulescens	97.1	55
Brassicaceae	Thlaspi arvense	98.9	48
Brassicaceae	Isatis tinctoria	99	43
Brassicaceae	Nasturtium officinale	98.3	38
Brassicaceae	Raphanus raphanistrum	95.9	28
Brassicaceae	Sinapis alba	98.7	25
Brassicaceae	Brassica cretica	62.1	20
Brassicaceae	Boechera stricta	96.2	19
Brassicaceae	Iberis amara	75	18
Brassicaceae	Schrenkiella parvula	98.3	13
Brassicaceae	Sisymbrium irio	97.6	11
Brassicaceae	Erysimum cheiri	91.6	10
Brassicaceae	Crambe hispanica	94.7	8
Brassicaceae	Diplotaxis tenuifolia	82.4	8
Brassicaceae	Arabis montbretiana	97.4	7
Brassicaceae	Physaria fendleri	79.6	7
Brassicaceae	Euclidium syriacum	98.7	5
Brassicaceae	Barbarea vulgaris	94.3	2
Brassicaceae	Erysimum cheiranthoides	98.7	2
Brassicaceae	Turritis glabra	99.2	2
Bromeliaceae	Ananas comosus	93.3	419
Cactineae	Carnegiea gigantea	87.3	5
Calycanthaceae	Chimonanthus salicifolius	88.2	30
Campanulaceae	Platycodon grandiflorus	93.3	59
Cannabaceae	Cannabis sativa	95.7	379
Cannabaceae	Humulus lupulus	87.7	128
Cannabaceae	Parasponia andersonii	97.1	46
Cannabaceae	Trema orientale	96.9	5
Caricaceae	Carica papaya	73.7	220
Caryophyllaceae	Silene latifolia	60.3	342
Caryophyllaceae	Dianthus caryophyllus	94.8	81
Caryophyllaceae	Silene noctiflora	88.8	10
Casuarinaceae	Casuarina equisetifolia	95.6	25
Casuarinaceae	Casuarina glauca	96.4	24
Celastraceae	Tripterygium wilfordii	97.4	22
Cephalotaceae	Cephalotus follicularis	92.5	17
Chenopodiaceae	Beta vulgaris	93.8	544
Chenopodiaceae	Chenopodium quinoa	96.3	350
Chenopodiaceae	Spinacia oleracea	94	343
Chenopodiaceae	Bassia scoparia	61.4	29
Chenopodiaceae	Chenopodium suecicum	95.5	5
Cleomaceae	Tarenaya hassleriana	98.6	66
Convolvulaceae	Ipomoea batatas	69.5	933
Convolvulaceae	Cuscuta campestris	89	100
Convolvulaceae	Cuscuta australis	85.3	51
Convolvulaceae	Ipomoea trifida	96.6	32
Convolvulaceae	Ipomoea triloba	97	29
Convolvulaceae	Ipomoea nil	95.6	27
Crassulaceae	Sedum album	91.7	69
